Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Vertical GRF,Knee flex/extension angle,Knee in/external rotation angle,A/P pelvic lean,Ipsi/contralateral pelvic lean,EMG activation for tibialis anterior ,EMG activation for gastrocnemius,EMG activation for soleus
19,2.60493187,25.3858,-0.676416,3.02271,-0.0156346,22.9719,0.729757,-6.95944,16.8947,24.5214,4.20184,23.5608,-1.09364,0.942133716,0.900070309,0.897850653
20,2.776974515,23.0698,-0.99537,2.83271,-0.00217589,25.7998,0.562453,-7.00165,15.447,22.5155,3.63002,23.6608,-1.47408,0.932780475,0.888561552,0.886541211
21,3.098947328,20.2377,-1.29959,2.6193,0.011046,27.673,0.424043,-6.97262,13.8821,20.5016,2.82033,23.7251,-1.86765,0.927742228,0.877453798,0.873617453
22,3.760662587,16.8711,-1.58231,2.37934,0.0203327,28.3284,0.321861,-6.82029,12.1987,18.4932,1.75539,23.7524,-2.26922,0.922759145,0.867051807,0.859586735
23,5.557681278,12.9758,-1.83795,2.11434,0.0165089,27.6351,0.228934,-6.43987,10.5035,16.5095,0.442899,23.7426,-2.67276,0.917255075,0.856235447,0.844061621
24,20.63586613,8.59188,-2.06254,1.82402,0.00898366,25.5023,0.135375,-5.83534,8.80782,14.5819,-1.08151,23.6969,-3.07115,0.911769393,0.844470049,0.826917578
25,3.87576155,12.7593,5.2392,1.05939,-0.0553004,-5.43288,0.330384,-0.916516,6.86808,41.2381,-3.28467,25.4909,5.92683,0.975549112,0.936222976,0.940749875
26,4.150219019,22.5824,2.22431,3.06741,-0.048482,25.2374,0.399942,-7.37196,16.8326,27.2422,-0.546581,26.5753,-3.04509,0.751255173,0.958025384,0.950987095
27,4.643165068,19.7967,2.0333,2.83371,-0.0369284,26.7346,0.310244,-7.24028,15.3197,25.1324,-1.50511,26.305,-3.61257,0.758359147,0.949362148,0.941476308
28,5.578885162,16.6136,1.85052,2.56596,-0.0257187,27.0992,0.199814,-6.96187,13.6089,23.0102,-2.53632,26.0298,-4.14586,0.763303018,0.939662252,0.931434432
29,7.858537111,13.0524,1.67592,2.26092,-0.0178733,26.0998,0.0897025,-6.49192,11.7525,20.9099,-3.62532,25.7548,-4.63941,0.768441008,0.929507037,0.921117853
30,20.44768016,9.15795,1.50891,1.93193,-0.016686,23.8035,-0.0237514,-5.81345,9.8184,18.8692,-4.7536,25.4844,-5.08832,0.772590225,0.918652584,0.909067601
31,2.708746878,24.2721,2.1823,3.24051,0.105532,17.1666,0.0491179,-3.94824,19.5314,38.7325,16.3605,20.857,8.39675,0.455204392,0.92126651,0.963127118
32,2.835605691,22.3001,2.06025,3.01897,0.103414,19.9257,-0.0240166,-4.16755,18.1242,37.0337,15.2382,20.5185,8.06872,0.450461014,0.910142705,0.950527721
33,3.061441288,19.9306,1.93516,2.7674,0.0995989,21.9242,-0.0679038,-4.32723,16.5581,35.1498,13.8578,20.1302,7.74829,0.446383841,0.898086906,0.935790399
34,3.493137208,17.1564,1.79935,2.48812,0.0898866,22.9305,-0.0847786,-4.41673,14.8718,33.0914,12.1871,19.6923,7.43509,0.442122795,0.880328904,0.91989116
35,4.470025197,13.9829,1.64756,2.18316,0.0796211,22.7621,-0.0633863,-4.39498,13.0652,30.8714,10.2203,19.2056,7.12822,0.439042264,0.860711924,0.903472228
36,8.017439629,10.4314,1.47812,1.85987,0.0653434,21.3621,-0.0120962,-4.23266,11.1681,28.5059,7.98161,18.6725,6.82636,0.436409423,0.839591726,0.88645755
37,11.89616381,8.9534,3.60922,1.97985,-0.165801,-10.3767,0.286805,1.17985,14.0616,29.1851,9.6314,13.5967,2.00115,0.976097544,0.999436477,0.997850132
38,5.539822211,11.2329,3.64827,2.16894,-0.164762,-11.464,0.353274,1.49213,15.2952,30.0046,10.3085,13.6838,2.24034,0.963506452,0.998309431,0.995728992
